MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
30,4,60.0,6324,1,1,0,3,0,2,2,11,6,7,3,4,4,6,1927,1950,4,0,1,2,3,0.0,1,2,2,1,2,3,5,0,5,0,520,520,4,3,0,0,520,0,0,520,0,0,1,0,1,1,2,4,0,0,5,3,1920.0,2,1,240,3,2,2,49,0,87,0,0,0,3,4,4,0,5,2008,4,1,68500
70,0,50.0,8500,1,2,3,3,0,2,2,5,6,6,3,0,4,4,1920,1950,2,0,11,13,3,0.0,1,3,2,1,2,3,5,0,5,0,649,649,4,2,0,0,649,668,0,1317,0,0,1,0,3,1,1,6,0,0,5,3,1920.0,2,1,250,2,3,1,0,54,172,0,0,0,3,0,4,0,7,2008,4,1,40000
20,1,69.0,8544,1,1,0,3,0,3,2,7,7,6,3,4,5,6,1966,2006,4,0,4,6,3,0.0,1,2,5,1,2,3,5,0,5,0,1228,1228,4,1,1,0,1228,0,0,1228,0,0,1,1,3,1,0,6,0,0,5,0,1966.0,2,1,271,2,2,2,0,65,0,0,0,0,3,0,4,0,6,2008,4,1,149350
20,1,85.0,11049,1,1,3,3,0,1,2,9,7,6,3,4,8,5,2007,2007,4,0,5,7,3,0.0,0,2,4,3,2,1,5,0,5,0,1234,1234,4,4,1,0,1234,0,0,1234,0,0,2,0,3,1,0,7,0,0,5,0,2007.0,3,2,484,2,2,2,0,30,0,0,0,0,3,4,4,0,1,2008,4,1,179900
20,1,70.0,10552,1,1,0,3,0,2,2,19,7,6,3,4,5,5,1959,1959,5,0,11,13,3,0.0,1,2,5,1,2,3,1,1018,5,0,380,1398,4,1,1,0,1700,0,0,1700,0,1,1,1,4,1,0,6,0,1,1,0,1959.0,3,2,447,2,2,2,0,38,0,0,0,0,3,4,4,0,4,2010,4,1,165500
120,1,60.0,7313,1,1,3,3,0,2,2,3,7,6,1,4,9,5,2005,2005,5,0,1,2,1,246.0,3,2,4,3,2,3,4,1153,5,0,408,1561,4,4,1,0,1561,0,0,1561,1,0,2,0,2,1,3,6,0,1,1,0,2005.0,1,2,556,2,2,2,203,47,0,0,0,0,3,4,4,0,8,2007,4,1,277500
60,1,108.0,13418,1,1,3,3,0,2,2,3,7,6,3,0,8,5,2004,2005,4,0,5,7,2,132.0,0,2,4,3,2,1,5,0,5,0,1117,1117,4,4,1,0,1132,1320,0,2452,0,0,3,1,4,1,0,9,0,1,1,4,2004.0,1,3,691,2,2,2,113,32,0,0,0,0,3,4,4,0,9,2006,4,1,309000
20,1,112.0,10859,1,1,3,3,0,1,2,9,7,6,3,4,5,5,1994,1995,4,0,5,7,3,0.0,1,2,4,0,2,3,5,0,5,0,1097,1097,4,4,1,0,1097,0,0,1097,0,0,1,1,3,1,1,6,0,0,5,0,1995.0,2,2,672,2,2,2,392,64,0,0,0,0,3,4,4,0,6,2009,4,1,145000
20,1,74.0,8532,1,1,3,3,0,2,2,19,7,6,3,4,5,6,1954,1990,5,0,0,1,1,650.0,1,2,5,1,2,3,1,1213,5,0,84,1297,4,1,1,0,1297,0,0,1297,0,1,1,0,3,1,1,5,0,1,2,0,1954.0,1,2,498,2,2,2,0,0,0,0,0,0,3,4,4,0,10,2009,4,1,153000
20,1,68.0,7922,1,1,3,3,0,2,2,19,7,6,3,4,5,7,1953,2007,4,0,5,7,3,0.0,1,1,5,1,2,3,4,731,5,0,326,1057,4,2,1,0,1057,0,0,1057,1,0,1,0,3,1,0,5,0,0,5,3,1953.0,2,1,246,2,2,2,0,52,0,0,0,0,3,4,4,0,1,2010,4,0,109000
90,1,65.0,6040,1,1,3,3,0,2,2,1,7,6,2,4,4,5,1955,1955,4,0,14,12,3,0.0,1,2,4,4,4,4,6,0,6,0,0,0,4,2,0,3,1152,0,0,1152,0,0,2,0,2,2,2,6,0,0,5,5,1980.0,0,0,0,5,5,1,0,0,0,0,0,0,3,4,4,0,6,2008,4,5,82000
20,1,84.0,8658,1,1,3,3,0,2,2,19,7,6,3,4,6,5,1965,1965,4,0,0,1,1,101.0,1,2,5,1,2,3,1,643,5,0,445,1088,4,4,1,0,1324,0,0,1324,0,0,2,0,3,1,1,6,0,1,2,0,1965.0,3,2,440,2,2,2,0,138,0,0,0,0,3,1,4,0,12,2006,4,0,160000
20,1,115.0,16905,1,1,3,3,0,2,2,4,7,6,3,4,5,6,1959,1959,4,0,5,7,3,0.0,1,1,5,1,2,2,2,967,5,0,383,1350,4,1,1,0,1328,0,0,1328,0,1,1,1,2,1,1,5,0,2,1,0,1959.0,3,1,308,2,2,0,0,104,0,0,0,0,3,4,4,0,7,2007,4,1,170000
85,1,69.0,9180,1,1,0,3,0,3,2,6,7,6,3,5,5,7,1983,1983,4,0,4,6,3,0.0,1,2,5,0,2,1,0,747,3,93,0,840,4,1,1,0,884,0,0,884,1,0,1,0,2,1,0,5,0,0,5,0,1983.0,3,2,504,2,1,2,240,0,0,0,0,0,3,0,4,0,12,2007,4,1,144000
20,1,69.0,9200,1,1,0,3,0,3,2,9,7,6,3,4,5,6,1975,1980,5,0,5,7,3,0.0,1,2,5,0,2,1,3,280,2,491,167,938,4,2,1,0,938,0,0,938,1,0,1,0,3,1,1,5,0,0,5,3,1977.0,2,1,308,2,2,2,145,0,0,0,0,0,3,0,4,0,7,2008,4,1,130250
20,1,70.0,7945,1,1,3,3,0,2,2,19,7,6,3,4,5,6,1959,1959,4,0,11,1,3,0.0,1,2,5,1,2,3,0,179,2,506,465,1150,4,4,1,4,1150,0,0,1150,1,0,1,0,3,1,1,6,0,0,5,0,1959.0,3,1,300,2,2,2,0,0,0,0,0,0,3,4,4,0,5,2006,4,1,141000
120,1,61.0,7658,1,1,3,3,0,2,2,3,7,6,1,4,9,5,2005,2005,5,0,1,2,1,412.0,3,2,4,3,2,3,4,456,5,0,1296,1752,4,4,1,0,1752,0,0,1752,1,0,2,0,2,1,3,6,0,1,1,0,2005.0,3,2,576,2,2,2,196,82,0,0,0,0,3,4,4,0,2,2010,4,1,319900
50,1,48.0,12822,1,1,0,3,0,3,2,12,7,6,3,1,7,5,2003,2003,4,0,5,7,3,0.0,0,2,4,3,2,3,4,1351,5,0,83,1434,4,4,1,0,1518,631,0,2149,1,0,1,1,1,1,0,6,0,1,4,0,2003.0,3,2,670,2,2,2,168,43,0,0,198,0,3,4,4,0,8,2009,4,0,239686
20,3,84.0,11096,1,1,3,3,0,2,2,0,7,6,3,4,8,5,2006,2006,4,0,5,7,3,0.0,0,2,4,0,2,1,4,24,5,0,1632,1656,4,4,1,0,1656,0,0,1656,0,0,2,0,3,1,0,7,0,0,5,0,2006.0,3,3,826,2,2,2,0,146,0,0,0,0,3,4,4,0,7,2007,4,1,249700
190,4,33.0,4456,1,1,3,3,0,2,2,10,7,6,4,0,4,5,1920,2008,4,0,1,2,3,0.0,1,2,2,1,2,3,5,0,5,0,736,736,4,1,1,0,736,716,0,1452,0,0,2,0,2,3,1,8,0,0,5,5,1980.0,0,0,0,5,5,1,0,0,102,0,0,0,3,4,4,0,6,2009,1,3,113000
20,1,66.0,7742,1,1,3,3,0,2,2,7,7,6,3,4,5,7,1966,1966,4,0,4,6,3,0.0,1,2,5,1,2,3,2,763,5,0,192,955,4,4,1,0,955,0,0,955,1,0,1,0,3,1,1,6,0,0,5,0,1966.0,2,1,386,2,2,2,0,0,0,0,0,0,3,0,4,0,1,2007,4,1,127000
60,1,69.0,13869,1,1,2,3,0,1,2,8,7,6,3,0,6,6,1997,1997,4,0,5,7,3,0.0,1,2,4,0,2,1,4,182,5,0,612,794,4,1,1,0,794,676,0,1470,0,1,2,0,3,1,1,6,0,0,5,0,1997.0,1,2,388,2,2,2,0,75,0,0,0,0,3,4,4,0,7,2007,4,1,177000
50,4,52.0,6240,1,1,3,3,0,2,2,11,7,6,3,1,6,6,1934,1950,4,0,0,1,3,0.0,1,2,4,1,2,3,5,0,5,0,816,816,4,2,1,0,816,0,360,1176,0,0,1,0,3,1,1,6,0,1,1,3,1985.0,2,2,528,2,2,2,112,0,0,0,0,0,3,0,0,400,9,2006,4,1,114500
90,4,110.0,8472,0,1,2,2,0,1,1,5,8,6,2,4,5,5,1963,1963,4,0,0,1,3,0.0,2,2,5,0,2,2,3,104,4,712,0,816,4,2,0,0,816,0,0,816,1,0,1,0,2,1,1,5,0,0,5,1,1963.0,2,2,516,2,2,2,106,0,0,0,0,0,3,4,4,0,5,2010,4,1,110000
20,1,68.0,50271,1,1,0,1,0,2,2,18,7,6,3,4,9,5,1981,1987,4,2,8,11,3,0.0,0,2,5,3,2,2,4,1810,5,0,32,1842,4,1,1,0,1842,0,0,1842,2,0,0,1,0,1,0,5,0,1,1,0,1981.0,1,3,894,2,2,2,857,72,0,0,0,0,3,4,4,0,11,2006,4,1,385000
80,1,60.0,7134,1,1,3,2,0,2,1,19,7,6,3,7,5,5,1955,1955,4,0,1,2,3,0.0,1,2,5,1,2,3,0,384,5,0,0,384,4,2,1,0,1360,0,0,1360,0,0,1,0,3,1,1,6,1,1,2,3,1962.0,2,2,572,2,2,2,0,50,0,0,0,0,3,0,4,0,2,2007,4,1,130000
20,1,100.0,10175,1,1,0,3,0,2,2,19,7,6,3,4,6,5,1964,1964,4,0,4,12,1,272.0,1,2,5,1,2,3,2,490,5,0,935,1425,4,1,1,0,1425,0,0,1425,0,0,2,0,3,1,1,7,0,1,1,0,1964.0,3,2,576,2,2,2,0,0,0,407,0,0,3,4,4,0,7,2008,4,1,180500
160,3,24.0,2645,1,2,3,3,0,2,2,0,7,6,0,0,8,5,1999,2000,4,0,1,2,1,456.0,0,2,4,0,2,3,4,649,5,0,321,970,4,4,1,0,983,756,0,1739,1,0,2,1,3,1,0,7,0,0,5,0,1999.0,1,2,480,2,2,2,115,0,0,0,0,0,3,4,4,0,8,2009,4,0,172500
60,1,89.0,11645,1,1,0,3,0,1,2,9,7,6,3,0,7,5,2004,2004,4,0,5,7,3,0.0,0,2,4,0,2,3,5,0,5,0,860,860,4,4,1,0,860,860,0,1720,0,0,2,1,3,1,0,7,0,0,5,0,2004.0,3,2,565,2,2,2,0,70,0,0,0,0,3,4,4,0,8,2006,4,1,196500
60,1,66.0,13682,1,1,2,0,0,3,2,17,7,6,3,0,10,5,2006,2006,5,0,5,7,1,1031.0,3,2,4,3,2,2,5,0,5,0,1410,1410,4,4,1,0,1426,1519,0,2945,0,0,3,1,3,1,0,10,0,1,1,4,2006.0,1,3,641,2,2,2,192,0,37,0,0,0,3,4,4,0,10,2006,1,3,438780
20,1,60.0,7200,1,1,3,2,0,2,2,9,7,6,3,4,5,7,1972,1972,4,0,4,6,3,0.0,1,2,5,1,2,1,0,632,5,0,148,780,4,4,1,0,780,0,0,780,0,0,1,0,2,1,1,4,0,0,5,3,1973.0,2,1,352,2,2,2,196,0,0,0,0,0,3,0,4,0,1,2008,4,1,124900
20,1,63.0,13072,1,1,3,3,0,2,2,6,4,6,3,4,6,5,2004,2004,4,0,5,7,3,0.0,1,2,4,0,2,3,0,941,5,0,217,1158,4,4,1,0,1158,0,0,1158,1,0,1,1,3,1,0,5,0,0,5,3,2006.0,2,2,576,2,2,2,0,50,0,0,0,0,3,4,4,0,5,2006,1,3,158000
75,4,60.0,7200,1,1,3,3,0,2,2,5,7,6,3,3,5,7,1920,1996,4,0,1,2,3,0.0,1,2,2,1,3,3,5,0,5,0,530,530,4,2,0,0,581,530,0,1111,0,0,1,0,3,1,2,6,0,0,5,3,1935.0,2,1,288,2,2,1,0,0,144,0,0,0,3,4,4,0,3,2007,4,1,101000
120,1,44.0,6442,1,1,0,3,0,2,2,3,7,6,1,4,8,5,2006,2006,4,0,5,7,2,178.0,0,2,4,0,1,0,4,24,5,0,1346,1370,4,4,1,0,1370,0,0,1370,0,0,2,0,2,1,0,6,0,1,1,0,2006.0,3,2,484,2,2,2,120,49,0,0,0,0,3,4,4,0,10,2007,4,1,202500
70,4,50.0,10300,1,1,0,2,0,2,2,10,5,5,3,0,7,6,1921,1950,4,0,2,4,3,0.0,1,2,2,1,2,3,5,0,5,0,576,576,4,1,1,0,902,808,0,1710,0,0,2,0,3,1,1,9,0,0,5,3,1990.0,2,2,480,2,2,2,12,11,64,0,0,0,3,3,4,0,4,2010,4,1,140000
60,1,69.0,9375,1,1,3,3,0,2,2,9,7,6,3,0,7,5,1997,1998,4,0,5,7,1,573.0,1,2,4,0,2,3,4,739,5,0,318,1057,4,4,1,0,1057,977,0,2034,1,0,2,1,3,1,0,8,0,0,5,0,1998.0,3,2,645,2,2,2,576,36,0,0,0,0,3,3,4,0,2,2009,4,1,219500
60,1,76.0,9591,1,1,3,3,0,2,2,3,7,6,3,0,8,5,2004,2005,4,0,5,7,1,344.0,0,2,4,3,2,1,5,0,5,0,1143,1143,4,4,1,0,1143,1330,0,2473,0,0,2,1,4,1,0,9,0,1,1,4,2004.0,3,3,852,2,2,2,192,151,0,0,0,0,3,4,4,0,10,2007,4,1,317000
20,1,69.0,19900,1,1,3,3,0,2,2,19,2,6,3,4,7,5,1970,1989,4,0,10,12,1,287.0,1,2,5,0,2,2,4,912,5,0,1035,1947,4,2,1,0,2207,0,0,2207,1,0,2,0,3,1,1,7,1,1,1,0,1970.0,3,2,576,2,2,2,301,0,0,0,0,0,3,4,4,0,7,2010,4,1,180000
20,1,72.0,10665,1,1,0,3,0,2,2,9,7,6,3,4,7,5,2003,2003,4,0,5,7,1,167.0,0,2,4,0,2,1,4,1013,5,0,440,1453,4,4,1,0,1479,0,0,1479,1,0,2,0,3,1,0,7,0,0,5,0,2003.0,3,2,558,2,2,2,144,29,0,0,0,0,3,4,4,0,6,2007,4,1,226000
30,4,47.0,4608,1,1,3,3,0,1,2,10,1,6,3,4,4,6,1945,1950,4,0,1,2,3,0.0,1,1,5,1,2,3,5,0,5,0,747,747,4,2,1,0,747,0,0,747,0,0,1,0,2,1,1,4,0,0,5,0,1945.0,2,1,220,2,2,2,0,0,0,0,0,0,3,4,4,0,6,2010,4,1,80000
50,1,81.0,15593,1,1,3,3,0,1,2,21,7,6,3,1,7,4,1953,1953,4,0,11,15,3,0.0,0,2,5,1,2,3,2,603,5,0,701,1304,2,2,1,0,1304,983,0,2287,0,0,2,0,3,1,1,7,0,1,2,0,1953.0,1,2,667,2,2,2,0,21,114,0,0,0,3,4,4,0,7,2006,4,1,225000
20,1,95.0,13651,1,1,0,3,0,2,2,19,7,6,3,4,7,6,1973,1973,4,0,10,12,1,1115.0,1,1,5,0,2,2,0,1880,5,0,343,2223,4,4,1,0,2223,0,0,2223,1,0,2,0,3,1,1,8,0,2,1,0,1973.0,1,2,516,2,2,2,300,0,0,0,0,0,3,4,4,0,2,2007,4,1,244000
20,1,69.0,7599,1,1,3,3,0,1,2,12,7,6,3,4,4,6,1982,2006,4,0,4,12,3,0.0,1,2,5,1,2,3,0,565,5,0,280,845,4,2,1,0,845,0,0,845,1,0,1,0,2,1,1,4,0,0,5,3,1987.0,2,2,360,2,2,2,0,0,0,0,0,0,3,4,4,0,6,2007,4,1,129500
60,1,74.0,10141,1,1,0,3,0,1,2,8,7,6,3,0,7,5,1998,1998,4,0,5,7,1,40.0,1,2,4,0,2,3,5,0,5,0,832,832,4,1,1,0,885,833,0,1718,0,0,2,1,3,1,1,7,0,1,2,0,1998.0,1,2,427,2,2,2,0,94,0,0,291,0,3,4,4,0,12,2009,4,1,185000
